ID;NAME;BRAND ID;BRAND;GROUP ID;GROUP NAME;SUBGROUP ID;SUBGROUP NAME;SPECIAL;TRAFFICLIGHT VALUE;PYRAMID VALUE;CARBS;SUGAR;ENERGY;PROTEINS;SATURATED FAT;FAT;SALT;SODIUM;FIBER
1133;Copos de centeno bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;60.7;0.9;323;9.5;0.3;1.7;0.003;0.001;13.2
3821;Copos de espelta con sirope de maíz;114;Biográ;7;Cereales;8;Cereales desayuno-Copos;No;1;0;68;4.9;362;14;0.2;1.05;0.025;0.01;10
1733;Copos de espelta germinada bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;66;12;359;12;0.5;3;0.01;0.004;9.3
1154;Copos de espelta integral bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;64;2.2;353;14.2;2;3.9;0.004;0.002;8.4
1155;Copos de maíz bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;3;1;80;5;369;8;0.2;1;1;0.4;4
1156;Copos de maíz tostado con agave bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;3;1;80;8;369;8;0.2;1;1.5;0.6;4
1157;Copos de maíz tostado extra bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;3;1;81.3;3.8;375;8.4;0.2;1;2;0.8;3.5
1152;Copos de mijo bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;69.9;0;354;9.9;0;2.9;0.0075;0.003;3.2
1148;Copos de quinoa bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;63.9;1.5;392;16.2;1.2;6.9;0.05;0.02;3.5
1149;Copos de teff bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;55.3;0;297;11.7;0.6;1.8;0.03;0.012;NaN
1150;Copos de trigo sarraceno bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;57.2;1.51;349;17.8;0.9;4.1;0.00029;0.0001;6.2
3090;Copos solubles de avena y miel;90;Hero;7;Cereales;8;Cereales desayuno-Copos;No;3;5;75;11;376;10;0.8;2.7;0.03;NaN;5.8
3080;Cortezas de cerdo fritas;144;Frit Ravich;6;Carnes;13;Derivados;No;3;5;0;0;484;70;7.7;23;3.7;1.48;0
3079;Cortezas de cerdo fritas, chicharricos;144;Frit Ravich;6;Carnes;13;Derivados;No;3;5;0;0;637;46;16;50;3;1.2;0
1766;Cortezas de lentejas bio;93;El Granero Integral;12;Legumbres;13;Derivados;No;3;5;55.3;1;476;12;2.8;22.2;3.1;1.24;3.8
311;Crema 6 verduras;3;Alvalle;9;Verduras y hortalizas;13;Derivados;No;2;2A;5.1;2;39;1;0.2;1.4;0.5;0.2;1.2
3432;Crema de avellanas;201;Lindt;3;Azúcar, chocolates y dulces;10;Chocolates;No;3;0;56;45;550;10;4.5;32;0.12;0.048;NaN
3217;Crema de avellanas con leche;212;Nocilla;3;Azúcar, chocolates y dulces;10;Chocolates;No;3;5;62;61;544;4;5.9;3.1;NaN;NaN;0.6
2424;Crema de avellanas original;1;La Vieja Fábrica;3;Azúcar, chocolates y dulces;10;Chocolates;No;3;5;54;NaN;550;5.5;NaN;34;NaN;NaN;2.8
2421;Crema de avellanas original sin aceite de palma;1;La Vieja Fábrica;3;Azúcar, chocolates y dulces;10;Chocolates;No;3;5;54;NaN;550;5.5;NaN;34;NaN;NaN;2.8
2423;Crema de avellanas, galleta;1;La Vieja Fábrica;3;Azúcar, chocolates y dulces;10;Chocolates;No;3;5;58;NaN;575;1.9;NaN;34;NaN;NaN;1.2
2422;Crema de avellanas, leche;1;La Vieja Fábrica;3;Azúcar, chocolates y dulces;10;Chocolates;No;3;5;57;NaN;561;3.8;NaN;35;NaN;NaN;1.6
994;Crema de cacao con avellanas;84;Nutella;3;Azúcar, chocolates y dulces;10;Chocolates;Sin gluten;3;5;57.6;56.8;546;6;11;31.6;0.114;0.046;NaN
3214;Crema de cacao y avellanas 0%;212;Nocilla;3;Azúcar, chocolates y dulces;10;Chocolates;No;3;5;52;5.5;441;4.5;5.4;3;NaN;NaN;NaN
3213;Crema de cacao y avellanas boca abajo;212;Nocilla;3;Azúcar, chocolates y dulces;10;Chocolates;No;3;5;57;55;551;5;5.4;3.5;NaN;NaN;3
3218;Crema de cacao y avellanas con almendras;212;Nocilla;3;Azúcar, chocolates y dulces;10;Chocolates;No;3;5;57;57;554;6;5.9;3.9;0.23;NaN;NaN
3212;Crema de cacao y avellanas con leche, chocoleche;212;Nocilla;3;Azúcar, chocolates y dulces;10;Chocolates;No;3;5;60;58;552;4.5;6.1;3.2;NaN;NaN;1.8
3211;Crema de cacao y avellanas original;212;Nocilla;3;Azúcar, chocolates y dulces;10;Chocolates;No;3;5;58;56;546;5;6.4;3.2;NaN;NaN;3
883;Crema de champiñones;77;Knorr;9;Verduras y hortalizas;13;Derivados;No;3;2A;3.9;0;21;0.6;0.2;0.5;0.83;0.332;0
882;Crema de espárragos;77;Knorr;9;Verduras y hortalizas;13;Derivados;No;3;2A;4;0;27;0.6;0.5;0.9;0.8;0.32;0
890;Crema de espárragos blancos y verdes con trocitos de almendras y un toque de vino blanco;77;Knorr;9;Verduras y hortalizas;13;Derivados;No;3;2A;4.1;0.9;45;1;1.5;2.6;0.88;0.352;0.5
517;Crema de leche;15;Central Lechera Asturiana;11;Lácteos;13;Derivados;No;0;0;8;5;91;3.4;3.4;5;0.15;0.06;0
998;Crema de leche y avellanas con bolas crujientes cubiertas de cacao joy;85;Kinder;3;Azúcar, chocolates y dulces;3;Azúcares;No;3;5;56.3;52.8;555;7.5;14;33;0.308;0.123;NaN
2954;Crema de limón;150;Helio's;3;Azúcar, chocolates y dulces;16;Dulces;No;3;5;46;46;350;0.9;NaN;NaN;0;0;0
310;Crema de puerros vichyssoise;3;Alvalle;9;Verduras y hortalizas;13;Derivados;No;3;2A;5.1;0.8;58;0.6;1.8;3.7;0.48;0.192;0.2
885;Crema de tomate;77;Knorr;9;Verduras y hortalizas;13;Derivados;No;2;2A;4.2;2.3;25;0.6;0.4;0.6;0.65;0.26;0
1651;Crema de untar de jamón de york, toque mediterráneo;20;El Pozo;6;Carnes;13;Derivados;No;3;5;1.5;NaN;293;11;NaN;25;1.8;0.72;NaN
1656;Crema de untar de jamón york;20;El Pozo;6;Carnes;9;Charcutería;No;3;5;6;NaN;293;11;NaN;25;1.8;0.72;NaN
1655;Crema de untar de pavo;20;El Pozo;6;Carnes;9;Charcutería;No;3;5;3;NaN;227;11;NaN;19;1.2;0.48;NaN
2163;Crema de untar de queso azul;122;President;11;Lácteos;13;Derivados;No;3;3;1.5;1.5;270;12;17;24;2.7;1.08;NaN
2164;Crema de untar de queso brie;122;President;11;Lácteos;13;Derivados;No;3;3;1.5;1.5;287;14;18;25;1.6;0.64;NaN
2161;Crema de untar de queso camembert;122;President;11;Lácteos;13;Derivados;No;3;3;2;2;281;12;18;25;1.6;0.64;NaN
2165;Crema de untar de queso cheddar;122;President;11;Lácteos;13;Derivados;No;3;3;1.5;1;274;13;17;24;2.3;0.92;NaN
933;Crema de untar de queso con palitos natural;81;La Vaca que ríe;11;Lácteos;39;Queso;No;3;3;24;4.5;286;11;9.5;16;1.6;NaN;1
1346;Crema de untar de queso con palitos sabor campesino;81;La Vaca que ríe;11;Lácteos;39;Queso;No;3;3;23.5;5;284;10.5;10;16;1.7;0.68;NaN
